铝基板	产品	LED照明灯具	下游	下游
崇达技术 002815	公司	双面板	产品	主营产品
京东方A 000725	公司	面板	产品	主营产品
崇达技术 002815	公司	软硬结合板	产品	主营产品
兆驰股份 002429	公司	面板	产品	主营产品
兔宝宝 002043	公司	单板	产品	主营产品
扬子新材 002652	公司	基板	产品	主营产品
崇达技术 002815	公司	HDI板	产品	主营产品
双面板	产品	面板	产品	上位产品
崇达技术 002815	公司	埋容板	产品	主营产品
高盟新材 300200	公司	背板	产品	主营产品
背板	产品	光伏背板	下位产品	下位产品
景旺电子 603228	公司	双面板	产品	主营产品
崇达技术 002815	公司	铝基板	产品	主营产品
背板	产品	高频背板	下位产品	下位产品
中京电子 002579	公司	双面板	产品	主营产品
莱宝高科 002106	公司	面板	产品	主营产品
崇达技术 002815	公司	铝基板	产品	主营产品
崇达技术 002815	公司	埋容板	产品	主营产品
东材科技 601208	公司	光伏背板	产品	主营产品
崇达技术 002815	公司	高频板	产品	主营产品
四川长虹 600839	公司	面板	产品	主营产品
背板	产品	高频背板	下位产品	下位产品
高盟新材 300200	公司	太阳能背板	产品	主营产品
崇达技术 002815	公司	高频板	产品	主营产品
康得新 002450	公司	面板	产品	主营产品
崇达技术 002815	公司	双面板	产品	主营产品
崇达技术 002815	公司	立体板	产品	主营产品
背板	产品	光伏背板	下位产品	下位产品
背板	产品	太阳能背板	下位产品	下位产品
崇达技术 002815	公司	厚铜板	产品	主营产品
崇达技术 002815	公司	双面板	产品	主营产品
背板	产品	太阳能电池背板	下位产品	下位产品
铝基板	产品	基板	产品	上位产品
崇达技术 002815	公司	软硬结合板	产品	主营产品
崇达技术 002815	公司	厚铜板	产品	主营产品
崇达技术 002815	公司	背板	产品	主营产品
瑞丰光电 300241	公司	面板	产品	主营产品
福斯特 603806	公司	太阳能电池背板	产品	主营产品
背板	产品	太阳能电池背板	下位产品	下位产品
东旭光电 000413	公司	基板	产品	主营产品
背板	产品	太阳能背板	下位产品	下位产品
兴森科技 002436	公司	基板	产品	主营产品
乐凯胶片 600135	公司	太阳能电池背板	产品	主营产品
胜宏科技 300476	公司	双面板	产品	主营产品
中来股份 300393	公司	太阳能电池背板	产品	主营产品
崇达技术 002815	公司	高多层板	产品	主营产品
崇达技术 002815	公司	高多层板	产品	主营产品
宇顺电子 002289	公司	面板	产品	主营产品
崇达技术 002815	公司	HDI板	产品	主营产品
崇达技术 002815	公司	立体板	产品	主营产品
崇达技术 002815	公司	厚铜板	产品	主营产品
崇达技术 002815	公司	埋容板	产品	主营产品
背板	产品	单板	上游	上游
景旺电子 603228	公司	HDI板	产品	主营产品
海信电器 600060	公司	面板	产品	主营产品
铝基板	产品	基板	产品	上位产品
深天马A 000050	公司	面板	产品	主营产品
福斯特 603806	公司	背板	产品	主营产品
崇达技术 002815	公司	背板	产品	主营产品
双面板	产品	面板	产品	上位产品
崇达技术 002815	公司	HDI板	产品	主营产品
