地铁一号线	产品	上海地铁一号线	下位产品	下位产品
申通地铁 600834	公司	地铁施工	产品	主营产品
隧道股份 600820	公司	地铁施工	产品	主营产品
申通地铁 600834	公司	地铁一号线	产品	主营产品
苏交科 300284	公司	施工	产品	主营产品
中国中铁 601390	公司	施工	产品	主营产品
龙元建设 600491	公司	施工	产品	主营产品
申通地铁 600834	公司	地铁一号线	产品	主营产品
地铁施工	产品	施工	产品	上位产品
申通地铁 600834	公司	上海地铁一号线	产品	主营产品
地铁施工	产品	施工	产品	上位产品
申通地铁 600834	公司	上海地铁一号线	产品	主营产品
申通地铁 600834	公司	地铁施工	产品	主营产品
上海地铁一号线	产品	地铁一号线	产品	上位产品
宏润建设 002062	公司	地铁施工	产品	主营产品
申通地铁 600834	公司	地铁施工	产品	主营产品
新疆城建 600545	公司	施工	产品	主营产品
隧道股份 600820	公司	施工	产品	主营产品
中南建设 000961	公司	施工	产品	主营产品
中国铁建 601186	公司	地铁施工	产品	主营产品
申通地铁 600834	公司	上海地铁一号线	产品	主营产品
上海地铁一号线	产品	地铁一号线	产品	上位产品
久联发展 002037	公司	施工	产品	主营产品
