打包机	产品	纸箱	下游	下游
天鹅股份 603029	公司	下脚料回收机	产品	主营产品
皮棉清理机	产品	棉花加工机械	产品	上位产品
景兴纸业 002067	公司	纸箱	产品	主营产品
天鹅股份 603029	公司	“三模”设备	产品	主营产品
天鹅股份 603029	公司	下脚料回收机	产品	主营产品
天鹅股份 603029	公司	皮棉清理机	产品	主营产品
天鹅股份 603029	公司	自动喂花机	产品	主营产品
天鹅股份 603029	公司	锯齿剥绒机	产品	主营产品
天鹅股份 603029	公司	籽棉清理类设备	产品	主营产品
美盈森 002303	公司	纸箱	产品	主营产品
天鹅股份 603029	公司	“三模”设备	产品	主营产品
合兴包装 002228	公司	纸箱	产品	主营产品
天鹅股份 603029	公司	轧花机	产品	主营产品
天鹅股份 603029	公司	自动喂花机	产品	主营产品
天鹅股份 603029	公司	籽棉清理类设备	产品	主营产品
天鹅股份 603029	公司	打包机	产品	主营产品
天鹅股份 603029	公司	下脚料回收机	产品	主营产品
天鹅股份 603029	公司	皮棉清理机	产品	主营产品
天鹅股份 603029	公司	自动喂花机	产品	主营产品
天鹅股份 603029	公司	“三模”设备	产品	主营产品
荣晟环保 603165	公司	纸箱	产品	主营产品
天鹅股份 603029	公司	轧花机	产品	主营产品
天鹅股份 603029	公司	打包机	产品	主营产品
皮棉清理机	产品	棉花加工机械	产品	上位产品
天鹅股份 603029	公司	锯齿剥绒机	产品	主营产品
裕同科技 002831	公司	纸箱	产品	主营产品
轧花机	产品	棉花加工机械	产品	上位产品
天鹅股份 603029	公司	籽棉清理类设备	产品	主营产品
