油烟机	产品	集成灶	下游	下游
和而泰 002402	公司	智能家居	产品	主营产品
洪涛股份 002325	公司	装饰	产品	主营产品
家电	产品	金属板材	上游	上游
浙江美大 002677	公司	厨电	产品	主营产品
悦心健康 002162	公司	瓷砖	产品	主营产品
益民集团 600824	公司	房地产业	产品	主营产品
*ST华菱 000932	公司	板材	产品	主营产品
家居	产品	智能家居	下位产品	下位产品
东软载波 300183	公司	芯片	产品	主营产品
家电	产品	装饰	上游	上游
美的集团 000333	公司	大家电	产品	主营产品
大家电	产品	家电	产品	上位产品
隧道股份 600820	公司	房地产业	产品	主营产品
家电	产品	厨卫家电	下位产品	下位产品
喜临门 603008	公司	家居	产品	主营产品
中体产业 600158	公司	房地产	产品	主营产品
新宝股份 002705	公司	小家电	产品	主营产品
上海物贸 600822	公司	金属	产品	主营产品
升达林业 002259	公司	木门	产品	主营产品
太钢不锈 000825	公司	不锈钢	产品	主营产品
凤形股份 002760	公司	金属	产品	主营产品
老板电器 002508	公司	其他小家电	产品	主营产品
曲美家居 603818	公司	家居	产品	主营产品
华帝股份 002035	公司	橱柜	产品	主营产品
万家乐 000533	公司	橱柜	产品	主营产品
河钢股份 000709	公司	不锈钢	产品	主营产品
万顺股份 300057	公司	包装用纸	产品	主营产品
苏泊尔 002032	公司	燃气灶	产品	主营产品
德奥通航 002260	公司	小家电	产品	主营产品
万和电气 002543	公司	厨卫	产品	主营产品
青岛海尔 600690	公司	小家电	产品	主营产品
老板电器 002508	公司	家电	产品	主营产品
金信诺 300252	公司	电缆	产品	主营产品
新华百货 600785	公司	电器	产品	主营产品
康尼机电 603111	公司	玻璃	产品	主营产品
万马股份 002276	公司	电缆	产品	主营产品
保利地产 600048	公司	房地产	产品	主营产品
美的集团 000333	公司	家电	产品	主营产品
金地集团 600383	公司	房地产	产品	主营产品
天龙集团 300063	公司	厨具	产品	主营产品
文化长城 300089	公司	塑料	产品	主营产品
家居	产品	不锈钢	上游	上游
*ST华泽 000693	公司	金属	产品	主营产品
厦门信达 000701	公司	房地产	产品	主营产品
家电	产品	包装用纸	上游	上游
华力创通 300045	公司	芯片	产品	主营产品
信达地产 600657	公司	房地产开发	产品	主营产品
家居	产品	大家居	下位产品	下位产品
南玻A 000012	公司	玻璃	产品	主营产品
厨房电器	产品	电器	产品	上位产品
家电	产品	小功率电机	上游	上游
苏泊尔 002032	公司	小家电	产品	主营产品
欧亚集团 600697	公司	房地产行业	产品	主营产品
金发科技 600143	公司	塑料	产品	主营产品
和而泰 002402	公司	家电	产品	主营产品
老板电器 002508	公司	油烟机	产品	主营产品
建新矿业 000688	公司	金属	产品	主营产品
四川长虹 600839	公司	厨卫	产品	主营产品
乐金健康 300247	公司	家居	产品	主营产品
欧比特 300053	公司	芯片	产品	主营产品
中国铁建 601186	公司	房地产开发	产品	主营产品
南京化纤 600889	公司	房地产开发	产品	主营产品
旗滨集团 601636	公司	玻璃	产品	主营产品
*ST新赛 600540	公司	玻璃	产品	主营产品
格林美 002340	公司	电器	产品	主营产品
福耀玻璃 600660	公司	玻璃	产品	主营产品
德豪润达 002005	公司	厨房家电	产品	主营产品
康盛股份 002418	公司	家电	产品	主营产品
环旭电子 601231	公司	智能家居	产品	主营产品
老板电器 002508	公司	大家电	产品	主营产品
中国中冶 601618	公司	房地产开发	产品	主营产品
美的集团 000333	公司	油烟机	产品	主营产品
莱克电气 603355	公司	家居	产品	主营产品
友邦吊顶 002718	公司	家居	产品	主营产品
金刚玻璃 300093	公司	玻璃	产品	主营产品
宝钢股份 600019	公司	板材	产品	主营产品
万和电气 002543	公司	电器	产品	主营产品
